code,ticker,name,industry,exchange,market,listed_date,cfi_code,benchmark,theme,region,source,price,ret_1d,ret_5d,ret_20d,ret_60d,ma5,ma20,ma60,ma20_slope,ma60_slope,bias20,dist_20d_high,dist_52w_high,last_price_date,calendar_staleness_days,volume_ratio20,atr_pct14,er20,vol20,maxdd20,keynes_legacy,keynes_v2,trend,rs_5d_vs_bench,rs_20d_vs_bench,rs_60d_vs_bench,avg_turnover20_twd,median_turnover20_twd,liquidity_capacity_2pct_2d_twd,acceleration,r_rs20,r_rs60,r_accel,r_slope,r_volume,r_high,r_quality,leader_score_v1,r_turnover,rs_acceleration,r_rs_accel,extension_quality,r_extension,taiwan_candidate_score_v1,taiwan_early_score_v2,taiwan_early_score_v3,trend_stage,reaction_state,extension_risk,candidate_eligible,research_priority_score,candidate_bucket,candidate_rank
3624,3624.TWO,光頡,電子零組件業,TPEX,上櫃,2011/03/16,ESVUFR,^TWII,電子零組件業,TW,TWSE_ISIN,123.0,-0.004048582995951455,0.18840579710144922,0.37123750484598395,-0.15917358573580165,121.7,98.63000030517578,102.07415866851807,0.01327926306207035,-0.003885619236187904,0.24708506153725884,-0.050193050193050204,-0.303247769440257,2026-09-16,1,1.3976152028776523,0.07003484231946638,0.5083971115920931,0.20053611458495924,-0.07625272077663581,2.5377161768920375,0.9411575344868561,REBOUND,0.3123128824435346,0.4518917188688645,-0.24775959372297718,1790998864.4528954,775043869.6950455,31001754.78780182,0.09559642088995324,0.9928970065956367,0.07813292744799594,0.984779299847793,0.9812278031456113,0.8730319959370239,0.4216133942161339,0.9751016260162602,0.7366652140471802,0.9472349061390157,0.1993399527263185,0.9954337899543378,0.0,0.00837138508371385,0.8734194152079133,0.8692571956462201,0.9225695927827485,EARLY,EXTENDED,EXTENDED,True,0.9225695927827485,EARLY,1
2338,2338.TW,光罩,半導體業,TWSE,上市,1995/04/17,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN,50.70000076293945,0.09978313321204646,0.2216867653720349,0.34126988852505735,-0.017441816623948503,47.64000015258789,41.11499996185303,42.63166694641113,0.0053183617300205255,-0.003977569321881248,0.23312661583313865,-0.032442761706788725,-0.17426710907213272,2026-09-16,1,2.5231546852533384,0.05952380862808838,0.5466100927811722,0.18418206727777978,-0.05625000000000002,2.5139516206555195,1.0128106834025463,REBOUND,0.25503696590585734,0.20391170075629916,-0.09958595956451066,494854629.9065126,38557569.362968445,1542302.7745187378,0.13636929324077057,0.9665144596651446,0.30010147133434806,0.9923896499238964,0.9076610857432775,0.9578466226510919,0.7118214104515475,0.9791666666666666,0.8061569352229986,0.878234398782344,0.20405904071678255,0.9964485032978183,0.0,0.00837138508371385,0.8685332670342619,0.8631029651570421,0.9194845607937748,EARLY,EXTENDED,EXTENDED,True,0.9194845607937748,EARLY,2
1528,1528.TW,恩德,電機機械,TWSE,上市,2000/09/11,ESVUFR,^TWII,電機機械,TW,TWSE_ISIN,24.950000762939453,0.012170432010216281,0.23209880310812103,0.34501357353657003,0.012170432010216281,22.679999923706056,20.097499942779542,20.339999866485595,0.005535734360996699,-0.005199718051412156,0.24144798278271806,-0.05133074194993692,-0.26617644814883956,2026-09-16,1,5.20593368705089,0.04551959724486475,0.5079368443297074,0.19333161863168974,-0.0831353949371626,2.524487111281044,0.9064482418001942,REBOUND,0.20486635533917052,0.3137055907539079,0.011485329943603073,129929724.01574068,13650421.983415604,546016.8793366242,0.14584540972397853,0.9857940131912735,0.578386605783866,0.9944190766108574,0.91324200913242,0.9913661757237177,0.5038051750380518,0.9725609756097561,0.8493861194966149,0.7864028411973617,0.12643995765069355,0.9837645865043125,0.0,0.00837138508371385,0.8708938659667735,0.8570663084560386,0.9157315118318168,EARLY,EXTENDED,EXTENDED,True,0.9157315118318168,EARLY,3
7799,7799.TW,禾榮科,生技醫療業,TWSE,上市,2025/09/15,ESVUFR,^TWII,生技醫療業,TW,TWSE_ISIN,457.0,0.09987966305655838,0.18240620957309184,0.32463768115942027,0.10653753026634383,426.0,384.575,387.18333333333334,0.006477274005708996,0.0011339625214552647,0.18832477410128057,0.0,-0.4686046511627907,2026-09-16,1,3.361595482707372,0.044388871522350735,0.4,0.21223599071243535,-0.08213820078226863,2.4509180345037094,0.6118428454470406,REBOUND,0.12011946315027955,0.17928453051259097,0.12313523545512373,189126210.55,113277266.0,4531090.64,0.10124678928323677,0.9583967529173009,0.8660578386605784,0.9857940131912735,0.928462709284627,0.9751142712036567,0.09538305428716387,0.9527439024390244,0.8558502516615791,0.8188736681887366,0.0752983305221318,0.954337899543379,0.05837612949359716,0.017250126839167934,0.8617030285112656,0.8543173925829882,0.906451886958754,EARLY,PRE_CONFIRMATION,NORMAL,True,0.906451886958754,EARLY,4
4915,4915.TW,致伸,電子零組件業,TWSE,上市,2012/10/05,ESVUFR,^TWII,電子零組件業,TW,TWSE_ISIN,65.5999984741211,0.0,0.06840385739195742,0.09698995503441488,-0.05856732863021541,64.13999862670899,61.164999389648436,63.545921579996744,0.0017878283334642638,-0.0027287055494897607,0.07250877346077833,-0.013533857532013638,-0.22451819346069313,2026-09-16,1,1.9354747652267412,0.021777003990861275,0.5000001644266819,0.048326647241373276,-0.01980193033758304,0.6406859916318279,1.0034835071990371,REBOUND,0.11814244878637625,0.09990089707135907,-0.036534055918623576,205141224.1565338,131588130.33466339,5263525.213386536,0.044156368633353704,0.9101978691019786,0.4515474378488077,0.9578893962455606,0.7874175545408422,0.9283900457084815,0.5986808726534754,0.9786585365853658,0.7908570652309068,0.8234398782343988,0.09316722451853648,0.9720953830542871,0.6374561326961083,0.11060375443937087,0.8410567595794485,0.8363874540393611,0.8872769523749836,EARLY,PRE_CONFIRMATION,NORMAL,True,0.8872769523749836,EARLY,5
2305,2305.TW,全友,電腦及週邊設備業,TWSE,上市,1988/10/21,ESVUFR,^TWII,電腦及週邊設備業,TW,TWSE_ISIN,49.400001525878906,0.09899890294570146,0.41142861502511163,0.8432836914997297,0.2699228685894701,43.810000610351565,33.40500020980835,33.038333352406816,0.01717820178508442,0.0035943638996702347,0.47882057223798835,0.0,0.0,2026-09-16,1,1.5039257392395675,0.060294972946207545,0.7533333138359942,0.21277927680872902,-0.06451612903225812,6.384489477197035,2.985599478244304,STRONG_UP,0.38776060786394195,0.6241470402906395,0.2615752504736525,681520302.7697605,317851569.11696434,12714062.764678573,0.2006076921501792,0.9964485032978183,0.9558599695585996,0.9964485032978183,0.991374936580416,0.8902996444895886,0.9974632166412988,0.9994918699186992,0.9776143619938475,0.8975139523084729,0.23172384779128208,0.9974632166412988,0.0,0.00837138508371385,0.8821804946985536,0.8771322571442601,0.9315336149420848,PERSISTENT,EXTENDED,EXTENDED,True,0.8821804946985536,CONFIRMED,6
3016,3016.TW,嘉晶,半導體業,TWSE,上市,2002/12/24,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN,115.5,0.050000000000000044,0.15500000000000003,0.13400262698695387,-0.15663907869707594,111.5,103.23861656188964,106.92146860758463,0.0014250159423230956,-0.002157891869112966,0.11876741326497608,-0.02941176470588236,-0.242077603404235,2026-09-16,1,2.2255428617490565,0.06165739305976296,0.24757215649299452,0.15755609902314183,-0.060194160929608165,0.8557389345813731,0.2105619493283705,REBOUND,0.11758879571089009,0.04466913205908374,-0.15875637161275635,918599478.934515,434322484.0463867,17372899.36185547,0.12149934325326156,0.8366311516996449,0.1948249619482496,0.989345509893455,0.7605276509386099,0.9471813103098019,0.5621511922881786,0.8765243902439024,0.7111630611766286,0.9162861491628614,0.10642151269611916,0.9771689497716894,0.4061629336751196,0.0395738203957382,0.8105100714846314,0.8203180261566437,0.8746653226261838,EARLY,PRE_CONFIRMATION,NORMAL,True,0.8746653226261838,EARLY,7
6218,6218.TWO,豪勉,通信網路業,TPEX,上櫃,2003/01/14,ESVUFR,^TWII,通信網路業,TW,TWSE_ISIN,54.099998474121094,0.09847712637809325,0.15351805360324589,0.4033722320313655,0.35249996185302734,47.84000015258789,43.152499771118165,37.89749975204468,0.012259518113485551,0.003642638137798169,0.2536932683174489,0.0,0.0,2026-09-16,1,5.153154619156237,0.060536044055070654,0.5992290638971141,0.16870164267014665,-0.04477616674830176,3.0536624367677367,1.4327801506642823,STRONG_UP,0.08844879050698173,0.30015960834131117,0.3742036810425503,137260272.07467613,74352655.66077423,2974106.2264309693,0.052674995595404506,0.9842719431760527,0.9756468797564688,0.9670218163368848,0.9781836631151699,0.9903504316912138,0.9974632166412988,0.9867886178861789,0.9815292271292257,0.7909690512430239,0.013408888421653942,0.3967529173008625,0.0,0.00837138508371385,0.8732065668478285,0.8625003356416809,0.8041933755743633,PERSISTENT,EXTENDED,EXTENDED,True,0.8732065668478285,CONFIRMED,8
6173,6173.TWO,信昌電,電子零組件業,TPEX,上櫃,2002/04/19,ESVUFR,^TWII,電子零組件業,TW,TWSE_ISIN,315.0,0.06960950764006801,0.17318435754189943,0.47540983606557385,0.039641656252039636,297.6,254.0,231.15551300048827,0.018363413011706544,0.00025167124037932904,0.24015748031496065,-0.024767801857585092,-0.12526698199911213,2026-09-16,1,1.3808163096060206,0.07596371882086167,0.4309978768577495,0.2520783484797924,-0.10407239819004521,3.426212030404603,0.8128450190873047,STRONG_UP,0.11062740307213503,0.509662664232627,0.017101993829321205,5316159568.225,4462806563.75,178512262.55,0.05433189852550596,0.9944190766108574,0.593607305936073,0.9675291730086251,0.9934043632673769,0.867445403758253,0.8132927447995941,0.9644308943089431,0.8763129469046393,0.974124809741248,-0.016788262986021707,0.1461187214611872,0.0,0.00837138508371385,0.8692806431341131,0.8653712898282513,0.7488722210133624,PERSISTENT,EXTENDED,EXTENDED,True,0.8692806431341131,CONFIRMED,9
8227,8227.TWO,巨有科技,半導體業,TPEX,上櫃,2022/12/20,ESVUFR,^TWII,半導體業,TW,TWSE_ISIN,272.0,0.09018036072144286,0.3737373737373737,0.8378378378378379,0.4522156730816309,243.8,183.225,170.74166666666667,0.018301294139346398,-0.0011281600488223813,0.4845135762041206,-0.007299270072992692,-0.007299270072992692,2026-09-16,1,0.9446966536859009,0.05173319327731092,0.6927374301675978,0.23304963267442705,-0.07121661721068251,6.437690731983886,2.4904636150694475,STRONG_UP,0.41995606445746914,0.6644201678221413,0.35118988137689666,613588954.4,187787200.0,7511488.0,0.16427791427791422,0.9969558599695586,0.9726027397260274,0.9959411466260781,0.9928970065956367,0.7348908075165058,0.9878234398782344,0.9959349593495935,0.964305306265504,0.8899036022323693,0.2538510225019338,0.9979705733130391,0.0,0.00837138508371385,0.8656745505515542,0.8600172142978263,0.9151037742958463,PERSISTENT,EXTENDED,EXTENDED,True,0.8656745505515542,CONFIRMED,10
