ticker,name,theme,region,benchmark,universe_layer,price,ret_1d,ret_5d,ret_20d,ret_60d,ma5,ma20,ma60,ma20_slope,ma60_slope,bias20,dist_20d_high,dist_52w_high,last_price_date,calendar_staleness_days,volume_ratio20,atr_pct14,er20,vol20,maxdd20,keynes_legacy,keynes_v2,trend,rs_5d_vs_bench,rs_20d_vs_bench,rs_60d_vs_bench,rs_5d_vs_local,rs_5d_vs_global,rs_20d_vs_local,rs_20d_vs_global,rs_60d_vs_local,rs_60d_vs_global,local_benchmark,global_benchmark,local_rs_status,global_rs_basis,acceleration,r_rs20,r_rs60,r_accel,r_slope,r_volume,r_high,r_quality,leader_score_v1,raw_leader_state
DELL,Dell,AI_Server,US,SPY,CORE,567.2899780273438,0.11975441848899493,0.09856883738071387,0.1471759253087983,0.4062250620298027,533.4359985351563,479.37350006103514,443.6551188151042,0.005621817573065007,0.0034838531477661347,0.18339870258809632,-0.0008102544652686117,-0.0008102544652686117,2026-09-11,1,1.6296912233757832,0.05803657357079556,0.20116078141872498,0.24854891340412852,-0.14056340295026493,0.8735756902772465,0.1191154840938846,STRONG_UP,0.11005402832073041,0.16464652073503772,0.38499582832237045,0.11005402832073041,0.11005402832073041,0.16464652073503772,0.16464652073503772,0.38499582832237045,0.38499582832237045,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,0.06177485605351429,0.9723502304147466,0.9723502304147466,0.9124423963133641,0.9216589861751152,0.967741935483871,0.9953917050691244,0.8986175115207373,0.9527649769585255,PERSISTENT
BOAT,Global Shipping ETF,Shipping,US,SPY,CORE,52.0,0.01900845079182445,0.032770637058250784,0.14386275950808702,0.26915055985030323,51.05400009155274,49.33099994659424,44.260002581278485,0.006563982379420968,0.00362047633590058,0.05410391146125604,-0.0030674817461688875,-0.0030674817461688875,2026-09-11,1,1.6828065046592362,0.01948625962812822,0.5077647560574693,0.06923692593388657,-0.044630363121339056,1.0327510886897064,1.0550502929192895,STRONG_UP,0.04425582799826733,0.16133335493432643,0.247921326142871,0.04425582799826733,0.04425582799826733,0.16133335493432643,0.16133335493432643,0.247921326142871,0.247921326142871,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.0031950528187709715,0.967741935483871,0.9032258064516129,0.4608294930875576,0.9354838709677419,0.9815668202764977,0.9861751152073732,0.9953917050691244,0.8815668202764977,PULLBACK_LEADER
MAERSK-B.CO,Maersk,Shipping,EU,^OMXC25,CORE,22850.0,0.02742805755395694,0.0773220179160774,0.3128411376041367,0.44803548795944237,22306.0,21518.25,18221.333333333332,0.011738506619969192,0.004769458814339159,0.06188932650192269,-0.01889222842421645,-0.01889222842421645,2026-09-10,2,0.9890580668802423,0.03279149734291967,0.4604651162790698,0.16008276392022205,-0.06553722692822117,2.3046350561080624,0.8998622167440489,STRONG_UP,0.09229310549994829,0.3091528748112915,0.31651046667207816,0.09229310549994829,0.08690165656936977,0.3091528748112915,0.3318186950221731,0.31651046667207816,0.3770297781579415,^OMXC25,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.0008882664849567679,0.9907834101382489,0.9585253456221198,0.4838709677419355,0.9907834101382489,0.6359447004608295,0.9585253456221198,0.9907834101382489,0.8695852534562214,PULLBACK_LEADER
HPE,HPE,AI_Server,US,SPY,CORE,62.09000015258789,0.1244114230354103,0.1405217068121989,0.03794718270384867,0.283381537449122,56.84800033569336,54.64600009918213,50.349666913350426,0.00040508294885694307,0.0024630145726808553,0.13622223108543996,-0.0009654283478340853,-0.030791324987930357,2026-09-11,1,1.6628020009693114,0.05658835640789402,0.058011765801186325,0.20789028780985325,-0.14961552672347855,0.04915242192747177,0.010589157863132075,STRONG_UP,0.15200689775221543,0.05541777813008808,0.26215230374168974,0.15200689775221543,0.15200689775221543,0.05541777813008808,0.05541777813008808,0.26215230374168974,0.26215230374168974,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,0.13103491113623672,0.8110599078341014,0.9308755760368663,0.9815668202764977,0.631336405529954,0.9723502304147466,0.9262672811059908,0.7926267281105991,0.8684331797235023,PERSISTENT
DAC,Danaos,Shipping,US,SPY,CORE,159.3300018310547,0.015552313410023721,0.03360368562874427,0.13507164902327218,0.23850167861952887,155.8480010986328,151.08049926757812,138.00066973368328,0.0049933468254707205,0.002914851553944605,0.05460335783551984,-0.00031373478620844164,-0.00031373478620844164,2026-09-11,1,1.2464012047659123,0.019519240410536407,0.5149378272590327,0.06065847395205247,-0.03145892642649628,0.972731207417433,1.1466411358669695,STRONG_UP,0.045088876568760816,0.1525422444495116,0.21727244491209663,0.045088876568760816,0.045088876568760816,0.1525422444495116,0.1525422444495116,0.21727244491209663,0.21727244491209663,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.00016422662707377134,0.9585253456221198,0.8663594470046083,0.4976958525345622,0.9032258064516129,0.8571428571428571,1.0,1.0,0.8635944700460829,PULLBACK_LEADER
9107.T,Kawasaki Kisen,Shipping,JP,^N225,CORE,3397.0,0.029393939393939306,0.020733173076923128,0.12112211221122116,0.34321866350336094,3379.4,3325.7,2891.9083333333333,0.008214269054034735,0.0045251938599283874,0.021439095528760888,-0.05402394876079086,-0.05402394876079086,2026-09-11,1,0.9840685127182156,0.03311745657933471,0.27490636704119853,0.11245947512152847,-0.05108225108225106,0.8015864269703659,0.2960821202514131,STRONG_UP,0.03626050228294031,0.1895575246772857,0.42749220485932593,0.03626050228294031,0.00505056093124201,0.1895575246772857,0.18743787629415742,0.42749220485932593,0.26228680540247185,^N225,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.00954735497588216,0.9769585253456221,0.9769585253456221,0.37327188940092165,0.967741935483871,0.6267281105990783,0.8709677419354839,0.9539170506912442,0.8375576036866359,PULLBACK_LEADER
MATX,Matson,Shipping,US,SPY,CORE,230.17999267578125,0.00960562800935083,0.035587295862127055,0.07681511316852241,0.17650321608421926,226.78199768066406,222.26749954223632,210.91376063028972,0.0035692155642500336,0.0027748313356636784,0.03559896588498468,-0.009637748519108924,-0.009637748519108924,2026-09-11,1,1.070313341229676,0.020555329935740083,0.3804446471406576,0.054603866051434885,-0.02935808423291475,0.5042276675347643,0.535198342859832,STRONG_UP,0.0470724868021436,0.09428570859476182,0.15527398237678702,0.0470724868021436,0.0470724868021436,0.09428570859476182,0.09428570859476182,0.15527398237678702,0.15527398237678702,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,0.016383517569996453,0.8894009216589862,0.7926267281105991,0.6774193548387096,0.8433179723502304,0.7235023041474654,0.9815668202764977,0.9723502304147466,0.834562211981567,PERSISTENT
9104.T,Mitsui OSK Lines,Shipping,JP,^N225,CORE,7046.0,0.009455587392550147,0.01104893098005455,0.08885798176479676,0.2956969474071349,7068.6,7048.3,6104.016666666666,0.006806692322932623,0.004206135705780014,-0.00032631982180097996,-0.06165934212278601,-0.06165934212278601,2026-09-11,1,1.0258087305923975,0.03188232431774867,0.2673175267317527,0.08803972363007828,-0.04245671887881286,0.5547328773775184,0.2698020272706248,PULLBACK,0.026576260186071732,0.1572933942308613,0.3799704887630999,0.026576260186071732,-0.008542625471666399,0.1572933942308613,0.13962380453597023,0.3799704887630999,0.18916086957956346,^N225,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.01116556446114464,0.9631336405529954,0.967741935483871,0.35944700460829493,0.9493087557603687,0.6728110599078341,0.8525345622119815,0.9447004608294931,0.830184331797235,PULLBACK_LEADER
356680.KQ,AXGATE,Cybersecurity,KR,^KQ11,CORE,16060.0,0.29935275080906143,0.405074365704287,0.2439969016266461,-0.13095238095238093,12792.0,11959.5,12478.166666666666,0.0015340507321839267,-0.01001100229925821,0.3428655044107196,0.0,-0.4743044189852701,2026-09-11,1,9.262549196687445,0.06337840241949831,0.2985781990521327,0.34558252679011187,-0.16653756777691708,1.4596792335654154,0.21080971928372652,REBOUND,0.39629745771604186,0.29128201801058606,0.07382295364207914,0.39629745771604186,0.5040502467020983,0.29128201801058606,0.3237793900382038,0.07382295364207914,-0.05437053750673804,^KQ11,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,0.3440751402976255,0.9861751152073732,0.695852534562212,1.0,0.7235023041474654,1.0,0.059907834101382486,0.9262672811059908,0.8066820276497695,PERSISTENT
9101.T,Nippon Yusen,Shipping,JP,^N225,CORE,7262.0,0.008891358710753083,0.014529198100027951,0.13468750000000007,0.3578908002991772,7274.2,7065.05,6115.35,0.008590810823756883,0.004710742833927834,0.02787666046241699,-0.027193569993302025,-0.027193569993302025,2026-09-11,1,0.7924645937721646,0.03098320022032498,0.36618521665250636,0.09313798962135682,-0.03722222222222227,0.9082671080075444,0.5295430099832767,STRONG_UP,0.030056527306045133,0.20312291246606462,0.4421643416551422,0.030056527306045133,0.007917682707305196,0.20312291246606462,0.18668650268755005,0.4421643416551422,0.25683358682502244,^N225,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.019142676899972066,0.9815668202764977,0.9815668202764977,0.28110599078341014,0.9723502304147466,0.3225806451612903,0.9447004608294931,0.967741935483871,0.8046082949308756,PULLBACK_LEADER
SMCI,Super Micro Computer,AI_Server,US,SPY,CORE,40.099998474121094,0.07276611365123764,0.05888565104655363,0.02400405082665258,0.37234768707862664,39.25199966430664,37.87649974822998,32.22249984741211,0.008934985964608353,-0.0016586578003701573,0.058703912470027486,-0.03443294840376088,-0.317795180216219,2026-09-11,1,1.1551869256945064,0.0553972274175825,0.0398980847332569,0.1750395235285195,-0.11721892484328289,-0.06502222709606958,0.005471425164540896,STRONG_UP,0.07037084198657018,0.04147464625289199,0.3511184533711944,0.07037084198657018,0.07037084198657018,0.04147464625289199,0.04147464625289199,0.3511184533711944,0.3511184533711944,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,0.05288463833989049,0.7788018433179723,0.9631336405529954,0.8940092165898618,0.9769585253456221,0.7926267281105991,0.2626728110599078,0.7695852534562212,0.8016129032258065,PERSISTENT
ZIM,ZIM,Shipping,US,SPY,CORE,29.56999969482422,0.003393294326424101,0.07176511530575724,0.10253542249408376,0.20891254299332407,29.415999603271484,28.24099979400635,26.142166487375896,0.004615032144895052,0.0019383478433006433,0.04705923694315972,-0.027302629411880996,-0.027302629411880996,2026-09-11,1,0.3424636849575695,0.02715106061264492,0.23686475929622947,0.11661881196097428,-0.062478280820116194,0.7317331769858,0.20825995188945878,STRONG_UP,0.08325030624577379,0.12000601792032317,0.18768330928589183,0.08325030624577379,0.08325030624577379,0.12000601792032317,0.12000601792032317,0.18768330928589183,0.18768330928589183,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,0.0461312596822363,0.9216589861751152,0.8433179723502304,0.8387096774193549,0.8847926267281107,0.009216589861751152,0.9400921658986175,0.9216589861751152,0.8004608294930876,PERSISTENT
XLE,Energy ETF,Energy,US,SPY,CORE,65.13999938964844,0.0032342381562551203,0.008046991967884276,0.06681948779225055,0.18514764530812688,64.84199829101563,63.718499755859376,59.06905937194824,0.004504675268131575,0.0018342666738170481,0.022309056855318365,-0.015565948432809118,-0.015565948432809118,2026-09-11,1,1.1399125838031012,0.01857538314709934,0.3784789248344515,0.04367508099321379,-0.02650978237974877,0.4494620051837082,0.5790434115400784,STRONG_UP,0.01953218290790082,0.08429008321848996,0.16391841160069465,0.01953218290790082,0.01953218290790082,0.08429008321848996,0.08429008321848996,0.16391841160069465,0.16391841160069465,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.008657879980178362,0.8709677419354839,0.815668202764977,0.3824884792626728,0.880184331797235,0.7741935483870968,0.9723502304147466,0.9815668202764977,0.7990783410138249,PULLBACK_LEADER
1548.HK,Genscript Biotech,Biotech,HK,^HSI,CORE,32.36000061035156,0.011250019073486328,0.028607805215198123,0.3006431552208495,1.8713397778133563,32.74400024414062,33.12700004577637,21.758333285649616,0.017063643178133213,0.01945569555038804,-0.023153301970143203,-0.13383297425896235,-0.13383297425896235,2026-09-11,1,0.962027329152351,0.07919829301899635,0.2385204642520824,0.28424685191135896,-0.14741475578593888,1.8310160154123862,0.2522791175180725,PULLBACK,0.06155944816406567,0.3130339906496621,1.8510424985936755,0.06155944816406567,-0.09705471841310642,0.3130339906496621,0.26304415895702815,1.8510424985936755,1.7272317773006873,^HSI,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.04655298359001425,0.9953917050691244,1.0,0.12903225806451613,0.9953917050691244,0.5944700460829493,0.6267281105990783,0.9400921658986175,0.7838709677419354,PULLBACK_LEADER
CVX,Chevron,Energy,US,SPY,CORE,214.05999755859375,0.006110185586210015,0.012966071074241192,0.09220100445549217,0.19886815159029547,211.80599975585938,206.20579986572267,189.7565923055013,0.005193834660535598,0.001882946505436401,0.03808912114977159,-0.015363369050879427,-0.015363369050879427,2026-09-11,1,0.8469528170852361,0.01925361300780978,0.46132834503407383,0.049865389349880204,-0.029158768894495313,0.5698346989344296,0.8529951806349159,STRONG_UP,0.024451262014257735,0.10967159988173159,0.17763891788286323,0.024451262014257735,0.024451262014257735,0.10967159988173159,0.10967159988173159,0.17763891788286323,0.17763891788286323,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.010084180039631851,0.9124423963133641,0.8341013824884793,0.3640552995391705,0.9078341013824884,0.43317972350230416,0.9769585253456221,0.9861751152073732,0.7799539170506913,PULLBACK_LEADER
AAPL,Apple,Consumer_Tech,US,SPY,CORE,332.2699890136719,0.017454088133066703,0.01237012176440544,0.0884818790013957,0.11133722232832,322.0739990234375,316.62599792480466,313.19628957112633,0.002207097338622368,0.0006554950620237376,0.04940842252815414,-0.011748296331836494,-0.03486507807020656,2026-09-11,1,1.1911237661039127,0.023610321365437333,0.3586507909814459,0.06723964332735843,-0.0392126853302972,0.6392628966987943,0.4719551490907925,STRONG_UP,0.023855312704421983,0.10595247442763511,0.09010798862088776,0.023855312704421983,0.023855312704421983,0.10595247442763511,0.10595247442763511,0.09010798862088776,0.09010798862088776,SPY,SPY,AVAILABLE,LOCAL_CURRENCY_ASSET_VS_USD_BENCHMARK_NOT_FX_HEDGED,-0.009750347985943486,0.9032258064516129,0.7235023041474654,0.3686635944700461,0.7695852534562212,0.8294930875576036,0.9170506912442397,0.9631336405529954,0.7737327188940092,PULLBACK_LEADER
